"","Women","Number","Oldest.Youngest","Men","Number.1","Oldest.Youngest.1"
"1","Aaneeraq",7,"1990 2010 ","Aage",31,"1928 2009"
"2","Aani",6,"1962 2010 ","Aaju",5,"1980 2009"
"3","Aaninnguaq",6,"1944 2009 ","Aannguaq",21,"1965 2010"
"4","Aaqa",11,"1965 2009 ","Abel",100,"1924 2010"
"5","Abegael",5,"1930 2007 ","Abia",40,"1933 2009"
"6","Abelone",31,"1931 2009 ","Abraham",60,"1928 2010"
"7","Abigael",39,"1927 2009 ","Absalon",10,"1928 2010"
"8","Ada",9,"1925 2007 ","Adam",98,"1923 2010"
"9","Adolfine",10,"1939 1996 ","Ado",13,"1937 2006"
"10","Agathe",71,"1922 2010 ","Adolf",41,"1925 2009"
"11","Agnes",28,"1931 2010 ","Aggu",7,"1959 2010"
"12","Agnete",6,"1926 2004 ","Aka",21,"1955 2008"
"13","Agnethe",58,"1910 2010 ","Akisooq",8,"1988 2005"
"14","Aila",20,"1985 2010 ","Aksel",28,"1930 2010"
"15","Aili",14,"1977 2010 ","Alan",5,"1960 2010"
"16","Aima",21,"1976 2010 ","Albert",28,"1933 2010"
"17","Aja",8,"1949 2009 ","Alberth",22,"1940 2006"
"18","Ajaaja",17,"1973 2008 ","Albrecht",28,"1924 2010"
"19","Aka",32,"1953 2009 ","Albrekt",7,"1921 2006"
"20","Akisooq",14,"1985 2010 ","Albricht",9,"1937 2000"
"21","Akisoq",5,"1948 1985 ","Alex",25,"1938 2010"
"22","Akitsinnguaq",12,"1970 2009 ","Alexander",20,"1940 2010"
"23","Albertine",6,"1939 2008 ","Alfred",27,"1935 2009"
"24","Aleqa",12,"1943 2010 ","Alibak",5,"1934 2003"
"25","Alice",22,"1947 2007 ","Allan",62,"1927 2010"
"26","Aline",15,"1929 2008 ","Amandus",5,"1941 2009"
"27","Alma",29,"1950 2010 ","Amasa",11,"1939 2007"
"28","Amalia",10,"1925 2008 ","Amassa",6,"1938 2005"
"29","Amalie",188,"1917 2010 ","Amos",38,"1929 2008"
"30","Amanda",13,"1934 2010 ","Ananias",8,"1934 1995"
"31","Andersine",6,"1933 2009 ","Anda",61,"1934 2010"
"32","Andrea",78,"1927 2010 ","Anders",151,"1927 2010"
"33","Ane",690,"1914 2010 ","Andreas",195,"1924 2010"
"34","Ane-Johanne",6,"1955 2006 ","Anga",7,"1950 1995"
"35","Ane-Kathrine",6,"1953 2010 ","Angerdla",11,"1939 2005"
"36","Ane-Katrine",6,"1965 2008 ","Angerla",12,"1988 2010"
"37","Ane-Louise",8,"1951 2010 ","Angerlannguaq",11,"1988 2009"
"38","Ane-Marie",51,"1922 2010 ","Ango",5,"1941 1977"
"39","Ane-Mette",6,"1977 2008 ","Angula",5,"1994 2003"
"40","Ane-Sofie",41,"1927 2009 ","Angunguak",7,"1972 1982"
"41","Anette",13,"1944 1999 ","Angunguaq",17,"1946 1988"
"42","Angerla",7,"1964 2009 ","Angunnguaq",49,"1980 2010"
"43","Angerlannguaq",11,"1987 2008 ","Angut",21,"1940 2009"
"44","Angerlartunnguaq",6,"1990 2010 ","Anguteeraq",35,"1938 2010"
"46","Anika",14,"1966 2010 ","Anguteq",9,"1964 2009"
"47","Anike",22,"1930 2005 ","Anguterak",8,"1931 1985"
"48","Anina",9,"1941 2006 ","Anguteraq",10,"1945 1987"
"49","Anine",22,"1932 2010 ","Angutimmarik",42,"1946 2010"
"50","Anita",17,"1956 2010 ","Angutinguaq",8,"1944 1988"
"51","Anitse",8,"1925 2007 ","Angutinnguaq",60,"1952 2010"
"52","Anja",43,"1950 2009 ","Angutitsiaq",27,"1950 2010"
"53","Ann",10,"1957 2009 ","Angutivik",16,"1977 2009"
"54","Anna",213,"1916 2010 ","Aningaaq",15,"1983 2010"
"55","Anna-Marie",7,"1972 2009 ","Anthon",103,"1923 2010"
"56","Anne",71,"1934 2004 ","Anton",31,"1919 2010"
"57","Anne-Marie",5,"1935 2003 ","Apollo",33,"1928 2010"
"58","Annelise",5,"1960 2003 ","Apollus",13,"1930 2009"
